country,date,population,GDP,accessElectricityInUrban,accessElectricityInRural,GDP_AVE
Brazil,2017,207833831,2053594973992.61,100.0,100.0,9880.946543263257
Brazil,2016,206163058,1796275437087.99,99.9,98.4671299664193,8712.887044428639
Brazil,2015,204471769,1802214373741.32,99.956197,98.2324092295465,8814.00098681261
Brazil,2014,202763735,2455994050148.75,99.945554,97.9100769987215,12112.59030195291
Brazil,2013,201035903,2472806456101.29,99.935013,97.5020335050058,12300.322575223243
Brazil,2012,199287296,2465188674415.03,99.927418,97.2218134003495,12370.02420071488
Brazil,2011,197514534,2616200980392.16,99.898571,96.1905873870837,13245.612499544768
Brazil,2010,195713635,2208871646202.82,99.7252044677734,94.1143729680585,11286.24301624575
Brazil,2009,193886508,1667019783585.08,99.85168,93.6173982007093,8597.91535151626
Brazil,2008,192030362,1695824565983.2,99.821747,91.8522558910515,8831.023116975637
Brazil,2007,190130443,1397084349956.35,99.781449,89.7762109761478,7348.030793555507
China,2017,1386395000,12143491448186.1,100.0,99.9726343053173,8759.041577751
China,2016,1378665000,11137945669350.6,100.0,100.0,8078.790474372382
China,2015,1371220000,11015542352468.9,100.0,100.0,8033.3880431067955
China,2014,1364270000,10438529153237.6,100.0,100.0,7651.366044285662
China,2013,1357380000,9570405758739.79,100.0,99.9674202194357,7050.645919889632
China,2012,1350695000,8532230724141.76,100.0,99.8725630661619,6316.918863356835
China,2011,1344130000,7551500425597.77,100.0,99.7761674733694,5618.132491349624
China,2010,1337705000,6087164527421.24,100.0,99.4393552282769,4550.453595838574
China,2009,1331260000,5101702432883.45,99.9957580566406,98.2926641256297,3832.2359515672747
China,2008,1324655000,4594306848763.08,99.9753570556641,97.8891935703655,3468.304463247472
China,2007,1317885000,3550342425238.25,99.9334869384766,97.5303319947054,2693.969826834853
India,2017,1338658835,2652242857923.91,99.2068023681641,89.3065549150273,1981.2687060956125
India,2016,1324509589,2290432075123.75,98.5279083251953,85.2142842338536,1729.2680205154406
India,2015,1310152403,2103587813812.75,97.5,83.3665448835227,1605.6054310902562
India,2014,1295604184,2039127446298.55,97.1729583740234,77.1164074895045,1573.881492110518
India,2013,1280846129,1856722121394.53,96.5008087158203,73.5527883241819,1449.6059123386945
India,2012,1265782790,1827637859135.7,96.1,72.3627471731482,1443.8795293904257
India,2011,1250288729,1823050405350.42,92.9,56.0959263645274,1458.1035268617702
India,2010,1234281170,1675615335600.56,94.0,68.3929975191765,1357.5637191326186
India,2009,1217726215,1341886602798.69,96.1,65.6914279234875,1101.9608400223938
India,2008,1200669765,1198895582137.51,93.2758941650391,62.1273113253739,998.522339019264
India,2007,1183209472,1216735441524.86,92.6676330566406,60.3947354433182,1028.3347710766636
Russian Federation,2017,144496740,1578624060588.26,100.0,100.0,10924.980456917297
Russian Federation,2016,144342396,1282723881134.01,100.0,100.0,8886.674439947707
Russian Federation,2015,144096870,1363594369577.82,100.0,100.0,9463.039478774383
Russian Federation,2014,143819666,2059984158438.46,100.0,100.0,14323.382995747326
Russian Federation,2013,143506911,2297128039058.21,100.0,100.0,16007.089993444357
Russian Federation,2012,143201676,2210256976945.38,100.0,100.0,15434.57478071262
Russian Federation,2011,142960868,2051661732059.78,100.0,100.0,14351.212053775304
Russian Federation,2010,142849449,1524917468442.01,100.0,100.0,10674.9972024184
Russian Federation,2009,142785342,1222644282201.86,100.0,100.0,8562.813696953992
Russian Federation,2008,142742350,1660846387624.78,100.0,100.0,11635.274237987394
Russian Federation,2007,142805088,1299705764823.62,100.0,100.0,9101.256706088932
South Africa,2017,57000451,349554116683.818,93.48291015625,66.8858089841595,6132.479840972101
South Africa,2016,56203654,296357282715.109,92.972038269043,67.6624846961341,5272.918424754181
South Africa,2015,55386367,317620522794.827,92.4615173339844,72.6687355439254,5734.633629153308
South Africa,2014,54545991,350904575292.317,91.9531402587891,75.2720701822663,6433.187276628946
South Africa,2013,53689236,366829390478.954,91.4490127563477,74.7422632935056,6832.456890967009
South Africa,2012,52834005,396332702639.496,90.951286315918,75.5644255549302,7501.469983952494
South Africa,2011,52004172,416418874936.304,91.4,73.4153538244244,8007.412846344405
South Africa,2010,51216964,375349442837.24,91.8178024291992,68.214492385712,7328.615628939661
South Africa,2009,50477011,295936485832.635,89.5174407958984,71.7233744960378,5862.797340211666
South Africa,2008,49779471,286769839732.726,89.0642242431641,70.6215940925835,5760.805287238308
South Africa,2007,49119759,299415505152.298,88.6239852905273,71.8050095298199,6095.622438870231
